intervention_id,intervention_name,category,target_stream,abatement_low_fraction,abatement_base_fraction,abatement_high_fraction,abatement_unit,abatement_source_id,capex_basis,capex_inr,savings_model,asset_lifetime_years,max_substitution_fraction,blocked_sectors,sector_caps,difficulty_score_1_to_5,disruption_downtime_days,confidence_tier,planning_grade_capex,actual_vendor_quote_required
INT-REC-BOARD,High Recycled-Content Corrugated Shipping Packaging,material,mat_paper,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},1,0,TIER_A_PRIMARY_DPR,true,true
INT-CULLET-GLASS,Beneficiated Post-Consumer Glass Cullet Melting Addition,material,mat_glass,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-FLY-ASH-BRICK,Fly Ash & Pond Ash Masonry Block Substitution,material,mat_cement,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},1,0,TIER_A_PRIMARY_DPR,true,true
INT-COLD-DYEING,Cold-Pad-Batch Dyeing for Cellulosic Woven Fabrics,process,thermal_fuel,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},3,0,TIER_A_PRIMARY_DPR,true,true
INT-OXY-FUEL,Oxy-Fuel Combustion Conversion on Melting Furnaces,process,thermal_fuel,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},4,0,TIER_A_PRIMARY_DPR,true,true
INT-COMBUSTION-TUNING,Automated Flue Gas O2 Trim & Air-to-Fuel Ratio Control,process,thermal_fuel,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-FOUNDRY-SAND-RECLAIM,Thermal-Mechanical Sand Reclamation Loop,process,waste,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},3,0,TIER_A_PRIMARY_DPR,true,true
INT-INHOUSE-REGRIND,Closed-Loop Runner Regrind & Internal Polymer Recycling,process,waste,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-ANAEROBIC-DIGESTION,On-site Bio-Methanation of Organic Wet Effluent & Sludge,waste,waste,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},4,0,TIER_A_PRIMARY_DPR,true,true
INT-SOLVENT-RECOVERY,Wiped-Film Evaporator & Solvent Fractional Distillation,waste,waste,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},3,0,TIER_A_PRIMARY_DPR,true,true
INT-SLAG-VALORISATION,Blast Furnace / Cupola Slag Offtake for Cement Co-Processing,waste,waste,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-COMPOSTING,On-Site Rotary Drum Composting for Organic Solid Waste,waste,waste,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-MODAL-SHIFT-RAIL,Inbound Bulk Freight Modal Shift from Road to Rail,logistics,freight_inbound,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},3,0,TIER_A_PRIMARY_DPR,true,true
INT-ROUTE-OPTIMISATION,Finished Goods Distribution Dispatch & Cube Optimization,logistics,freight_outbound,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},1,0,TIER_A_PRIMARY_DPR,true,true
