source_version_id,source_id,version,publication_date,valid_from,valid_to,reporting_period,retrieved_at,checksum_sha256
"VER-SRC-BEE-MSME-2024","SRC-BEE-MSME-2024","2024 Consolidated Cluster Manual","2024-08-30","2024-08-30",,"2022-2024","2026-09-12T02:08:48.542Z","bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663"
"VER-SRC-SIDHIEE-2025","SRC-SIDHIEE-2025","2025.1","2025-01-20","2025-01-20",,"2023-2025","2026-09-12T02:08:48.544Z","c1580139e6368f3d6608e2046c8c7c395167a073ec98b6049ce2f563d372b638"
"VER-SRC-IEC-BIS-MOTORS","SRC-IEC-BIS-MOTORS","2025 Reaffirmed / Edition 1.1","2025-02-14","2025-02-14",,"Active Standards","2026-09-12T02:08:48.544Z","4f3733bc97a2ff60183662cbe4f12bed7417e30f26c5f5e4b0627ead91886a76"
"VER-SRC-GLEC-INDIA-2024","SRC-GLEC-INDIA-2024","v3.0 India Addendum","2024-09-10","2024-09-10",,"2024-2026","2026-09-12T02:08:48.546Z","b56672bbb8f2efaa9700568136796cd47bd33b0d9076bf879e36ec384460d447"
"VER-SRC-SEBI-BRSR-2025","SRC-SEBI-BRSR-2025","SEBI Circular 2024/2025","2025-03-15","2025-03-15",,"Mandatory Top 250 / Voluntary Value Chain FY2025-26","2026-09-12T02:08:48.547Z","78115158d76e0af1ceea20f64774660dca440736d934de26b28bc0f22cf05374"
"VER-SRC-EU-CBAM-2026","SRC-EU-CBAM-2026","Regulation (EU) 2023/956","2025-11-01","2025-11-01",,"Definitive Period Entry 2026","2026-09-12T02:08:48.547Z","79c46bae89caa7963992d41cd2e6c79cd057f9255861bbc581ef3c320631b726"
"VER-SRC-CPCB-RULES","SRC-CPCB-RULES","Notifications 2016-2024","2024-04-01","2024-04-01",,"Statutory Rules Active","2026-09-12T02:08:48.548Z","6b141bbabfa217b41a4486eee384fda5ea0c4ed65ec614d68cd2eef2fad77918"
"VER-SRC-MOEFCC-ASH","SRC-MOEFCC-ASH","S.O. 5481(E) as amended","2021-12-31","2021-12-31",,"Mandatory Ongoing","2026-09-12T02:08:48.549Z","6ea8dbc19c44e90e6f4cbc5692021cc6e197afb4ec79cf1e26f2f56109ce9ec2"
"VER-SRC-BEE-AUDITORS-ESCO","SRC-BEE-AUDITORS-ESCO","2025-2026 Directory","2025-06-30","2025-06-30",,"Active","2026-09-12T02:08:48.549Z","bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663"
"VER-SRC-BEE-CCTS-2025","SRC-BEE-CCTS-2025","CCTS 2023-2025 Notifications","2025-05-18","2025-05-18",,"Compliance Cycle 2025-2026","2026-09-12T02:08:48.551Z","bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663"
